"","egal1","egal2","egal3","egal","indiv1","indiv2","indiv3","indiv","hier1","hier2","hier3","hier","fatal1","fatal2","fatal3","fatal","nep2","nep3","nep6","nepScale","ideology","partisan","happening","risk","sciconsensus","IntAgree","Renew","Nuclear","Tax","EPA","CapTrade","GeoEng"
"1",5,5,5,5,5,5,5,5,6,4,5,5,6,6,6,6,6,5,5,4,5,6,3,5,1,5,5,5,6,6,6,5
"2",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,4,10,1,7,7,7,7,7,7,7
"3",6,7,7,7,3,3,2,3,6,5,4,5,6,5,5,5,7,6,7,6,1,1,4,10,1,7,7,2,3,7,7,7
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,1,1,NA,NA,NA,NA,NA,4,NA
"5",3,5,4,4,3,6,3,4,6,1,4,4,5,4,3,4,5,2,6,5,2,4,4,9,1,6,7,4,6,6,6,4
"6",2,4,1,2,1,3,1,2,1,3,1,2,7,2,1,3,7,4,7,6,1,4,4,10,1,6,6,2,5,6,5,6
"7",5,3,4,4,5,3,4,4,3,5,6,5,4,4,5,4,6,4,6,5,4,6,2,3,0,5,4,6,2,3,4,3
"8",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,0,4,4,4,4,4,4,4
"9",6,4,3,4,6,1,3,3,2,4,1,2,NA,2,5,NA,5,4,6,5,3,4,3,9,1,1,7,1,6,7,4,7
"10",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,4,4,NA,4,4,4,4
"11",3,3,3,3,3,3,4,3,3,4,2,3,3,5,4,4,4,4,4,4,4,4,4,7,0,3,4,4,4,4,5,4
"12",4,5,6,5,4,5,3,4,5,4,3,4,4,3,6,4,4,4,5,4,2,4,2,6,1,6,7,3,5,6,4,6
"13",6,6,7,6,2,2,3,2,4,5,3,4,3,5,6,5,7,6,7,6,1,1,4,10,1,7,7,1,7,7,5,7
"14",4,5,6,5,3,2,3,3,3,2,3,3,2,3,3,3,5,6,6,5,2,2,4,6,1,4,6,2,4,5,5,6
"15",7,7,4,6,2,3,3,3,4,3,7,5,4,3,5,4,7,7,6,5,1,2,4,10,1,7,7,4,6,7,4,7
"16",5,4,4,4,5,3,6,5,5,4,5,5,5,5,2,4,6,5,7,4,2,1,2,9,1,4,5,3,5,4,4,4
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",4,4,2,3,4,2,3,3,2,2,4,3,4,3,2,3,5,3,4,4,4,6,4,3,0,1,NA,5,3,4,2,4
"19",4,5,3,4,3,5,5,4,5,4,NA,NA,5,5,5,5,4,2,4,4,5,6,-2,3,1,5,4,4,4,4,5,5
"20",6,7,5,6,5,6,5,5,7,7,4,6,6,5,7,6,7,7,6,4,2,6,-3,8,1,5,6,7,5,5,7,7
"21",4,4,5,4,5,4,4,4,4,5,4,4,4,4,5,4,5,5,5,4,5,6,-3,8,0,5,5,6,6,5,NA,5
"22",4,4,5,4,3,2,5,3,4,2,4,3,6,5,3,5,4,6,3,4,6,4,2,1,0,4,6,4,3,4,6,3
"23",4,2,1,2,6,4,2,4,3,4,2,3,6,2,3,4,5,5,7,5,4,4,3,6,1,6,7,3,4,7,5,7
"24",7,7,7,7,1,2,3,2,3,2,3,3,4,4,2,3,7,7,7,6,1,2,4,10,1,7,7,2,6,7,7,6
"25",4,5,3,4,3,4,3,3,7,3,1,4,3,2,1,2,7,7,7,6,1,1,4,10,1,4,7,2,5,5,4,6
"26",5,4,5,5,5,5,5,5,4,5,4,4,5,4,4,4,5,6,5,4,4,1,4,9,1,6,6,6,6,5,5,6
"27",6,5,5,5,5,5,5,5,6,4,5,5,5,5,4,5,5,6,4,4,4,2,3,4,0,4,6,4,6,3,4,6
"28",1,1,1,1,1,7,1,3,7,7,7,7,1,7,7,5,7,7,7,4,6,6,1,0,0,1,7,1,7,7,1,1
"29",6,5,5,5,4,4,5,4,5,5,5,5,5,5,4,5,5,4,4,NA,3,6,2,2,0,4,5,5,4,5,5,4
"30",7,6,4,6,2,1,1,1,6,6,6,6,4,7,1,4,6,6,7,5,4,5,3,4,1,2,7,1,6,7,6,7
"31",6,6,2,5,6,6,4,5,5,4,5,5,6,2,3,4,7,7,7,6,4,4,4,10,1,7,7,7,1,7,7,7
"32",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,4,4,4,4,4,4,4
"33",7,7,5,6,7,5,6,6,5,6,7,6,7,6,6,6,7,7,7,4,2,4,-3,4,1,6,6,6,6,5,7,7
