"node","label","type","betweenness","closeness","strength","rank_between","rank_close","rank_strength"
"egal","Egal","Deep Core",84,0.00542164912303245,1.09476013974606,1,1,4
"indiv","Indiv","Deep Core",50,0.00430079309689331,1.05624717540829,2,8,6
"risk","Risk","Policy Core",46,0.0047627935139365,1.20408709278803,3,5,2
"fatal","Fatal","Deep Core",44,0.00479773469468079,0.926104195463236,4,4,8
"IntAgree","IntAgree","Secondary",32,0.00505551266580141,1.17882656680176,5,2,3
"EPA","EPA","Secondary",18,0.00446946280800748,1.2230049898365,6,7,1
"ideology","Ideo","Deep Core",14,0.00370791283044853,0.957830521706528,7,14,7
"Tax","Tax","Secondary",14,0.00489944333082306,1.07112848121632,7,3,5
"Renew","Renew","Secondary",10,0.00375074944644491,0.821070875344095,9,13,12
"sciconsensus","SciCons","Policy Core",8,0.00377852346153742,0.60438274252572,10,12,16
"happening","Happen","Policy Core",2,0.00412780150546495,0.775942598446221,11,9,14
"GeoEng","GeoEng","Secondary",2,0.00356103377774787,0.841753930631332,11,16,11
"hier","Hier","Deep Core",0,0.00385023344426851,0.87835168025951,13,11,10
"partisan","Party","Deep Core",0,0.00369502316220903,0.722009821027279,13,15,15
"nepScale","NEP","Deep Core",0,0.00460164226640119,0.79897809589302,13,6,13
"Nuclear","Nuclear","Secondary",0,0.0033532406376424,0.522718846030866,13,17,17
"CapTrade","CapTrade","Secondary",0,0.00406485304888415,0.9042347832547,13,10,9
