StartDate,wildfires,biodiversity,SLR,flooding,drought,ocean,infections,hurricanes,energy,waterways,solar,wind,coal,hydro,gas,nuclear,oilPercent,gasPercent,coalPercent,renewPercent,nuclearPercent,offshoreDrill,offshoreWind,nuclearLocal,retreat,develop,pipelines,seaWalls,taxRebates,fracking,nep1,nep2,nep3,nep4,nep5,nep6,sci1,sci2,sci3,sci4,sci5,sciPol1,sciPol2,sciPol3,sciPol4,sciPol5,cckIcecap,cckAveTemp,cckCoastal,cckHurricanes,cckNuclear,cckCancer,cckEffects,cckPlants,cckGas,gcc,gccCertIS,gccCertISNOT,gccCert,gccAnthro,gccSciCon,gccReduce,gccIndiv,gccHurricanes,risk,gccCongress,gccPres,gccCorps,gccCitizens,gccLocalGov,gccStateGov,gccMC,IntAgree,Renew,Nuclear,Tax,EPA,CapTrade,GeoEng,egal1,indiv1,hier1,fatal1,egal2,indiv2,hier2,fatal2,egal3,indiv3,hier3,fatal3,age,gender,edu,zip,religion,religionOther,bornAgain,attend,party,partyOther,partyLean,party2,partyIden,ideology,race,inc,nep1REV,nep4REV,nep5REV,nepScale,sci2REV,sci3REV,sci4REV,sciScale,sciPol4REV,sciPol5REV,sciPolScale,cckIcecapC,cckAveTempC,cckCoastalC,cckHurricanesC,cckNuclearC,cckCancerC,cckEffectsC,cckPlantsC,cckGasC,gccKnow,gccDummy,happening,gccAnthroDummy,sciconsensus,egal,indiv,hier,fatal,male,partisan,white
10/6/17 18:10,5,9,6,8,6,4,8,8,2,9,6,6,6,6,5,5,0,0,0,0,100,5,6,6,7,5,4,4,6,7,5,6,5,6,6,5,7,6,6,3,6,6,6,6,6,7,1,1,0,1,NA,1,1,0,4,1,2,NA,3,2,1,0,4,3,5,0,1,1,1,2,1,1,5,5,5,6,6,6,5,5,5,6,6,5,5,4,6,5,5,5,6,40,2,7,96816,Buddhist,,NA,3,Republican,,,1,2,5,3,7,3,2,2,4,2,2,5,4,2,1,4,0,1,0,1,NA,0,1,1,0,NA,1,3,0,1,5,5,5,6,0,6,0
10/6/17 19:47,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,20,20,20,20,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,2,1,3,NA,4,1,1,0,1,NA,10,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,50,2,2,33324,Other (please specify),methodise,NA,3,Republican,,,1,3,7,7,3,1,1,1,4,1,1,1,3,1,1,5,0,1,1,1,0,0,1,0,0,4,1,4,1,1,7,7,7,7,0,7,1
10/8/17 13:10,8,7,7,2,2,5,5,8,3,4,7,7,1,7,7,2,0,40,0,60,0,5,7,1,4,7,3,6,6,4,3,7,6,1,7,7,5,3,1,1,5,7,7,6,2,2,1,1,1,1,1,1,0,0,4,1,3,NA,4,1,1,2,5,5,10,2,2,2,2,2,2,2,7,7,2,3,7,7,7,6,3,6,6,7,3,5,5,7,2,4,5,18,2,1,30004,Agnostic,,NA,0,Democratic,,,-1,3,1,6,1,5,7,1,6,5,7,7,6,6,6,6,0,1,1,1,0,0,0,1,0,4,1,4,1,1,7,3,5,5,0,1,0
10/10/17 11:28,1,3,4,0,5,7,6,3,5,9,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,3,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,1,3,0,1,1,1,1,0,1,1,2,1,3,NA,4,1,1,2,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,4,28805,Orthodox,,0,3,,,,NA,0,4,7,5,NA,NA,NA,NA,NA,NA,NA,NA,7,5,4,1,1,1,1,0,1,1,0,0,6,1,4,1,1,NA,NA,NA,NA,1,NA,1
10/7/17 9:16,8,9,9,8,7,9,9,9,7,9,7,7,1,5,4,4,36,0,0,54,10,1,7,3,5,5,1,4,6,1,1,5,2,2,3,6,6,5,1,4,4,6,6,4,1,1,1,1,1,1,0,0,0,0,1,1,3,NA,4,1,1,3,1,4,9,2,2,2,1,2,2,2,6,7,4,6,6,6,4,3,3,6,5,5,6,1,4,4,3,4,3,18,2,4,13323,Agnostic,,NA,0,Independent,,Democratic,-1,0,2,7,1,7,6,5,5,3,7,4,5,7,7,6,0,1,1,1,1,1,0,1,1,7,1,4,1,1,4,4,4,4,0,4,1
10/10/17 3:34,6,6,5,3,7,4,2,9,3,3,7,5,4,4,4,2,0,50,0,50,0,2,5,3,5,4,4,7,4,3,2,7,4,1,5,7,3,2,3,4,7,6,6,6,6,4,1,1,1,1,1,1,0,1,1,1,3,NA,4,1,1,2,2,5,10,1,2,2,2,1,1,1,6,6,2,5,6,5,6,2,1,1,7,4,3,3,2,1,1,1,1,18,2,2,90255,Atheist,,NA,0,Independent,,Democratic,-1,0,1,5,1,6,7,3,6,6,5,4,5,2,4,5,0,1,1,1,0,0,0,0,1,4,1,4,1,1,2,2,2,3,0,4,0
10/9/17 17:40,3,5,5,4,4,7,5,8,6,3,6,2,3,4,6,3,60,10,10,10,10,4,6,4,4,5,5,6,5,6,2,6,4,5,5,6,4,5,4,6,5,6,5,3,4,3,1,1,1,1,1,1,1,0,3,1,1,NA,2,1,3,2,3,4,3,0,1,1,-1,-1,0,0,5,4,6,2,3,4,3,5,5,3,4,3,3,5,4,4,4,6,5,18,3,1,33030,Jewish,,NA,4,Republican,,,1,2,4,7,1,6,3,3,5,3,4,2,4,4,5,5,0,1,1,1,0,0,1,1,0,5,1,2,1,0,4,4,5,4,1,6,1
10/10/17 4:52,3,0,0,0,0,2,4,8,4,0,4,4,4,4,4,4,20,20,20,20,20,3,4,4,3,3,4,4,3,5,4,4,4,4,4,4,3,3,3,3,4,4,3,5,1,3,1,1,0,0,1,0,1,1,2,1,3,NA,4,2,3,2,3,1,3,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,2,2,77713,Agnostic,,NA,0,Independent,,Democratic,-1,0,1,7,7,4,4,4,4,5,5,5,4,7,5,5,0,1,0,0,0,1,1,0,0,3,1,4,0,0,4,4,4,4,0,4,1
10/10/17 11:43,5,6,7,3,2,7,7,5,4,6,7,7,4,7,5,3,5,10,20,50,15,3,5,1,5,5,4,5,2,3,3,5,4,2,5,6,6,5,5,4,3,5,6,3,2,6,1,1,1,1,1,1,0,1,1,1,2,NA,3,1,1,3,3,3,9,-2,-2,-1,-1,-1,-1,-2,1,7,1,6,7,4,7,6,6,2,NA,4,1,4,2,3,3,1,5,19,3,2,72764,Agnostic,,NA,0,Independent,,Democratic,-1,0,3,2,3,5,6,3,5,3,3,4,4,6,2,4,0,1,1,1,0,0,0,0,1,4,1,3,1,1,4,3,2,NA,1,4,0
10/7/17 23:46,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,10,10,60,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,1,3,NA,4,2,1,2,2,4,5,2,2,2,2,2,2,2,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,2,2,33431,Choose not to answer,,NA,0,Independent,,Neither,0,0,4,7,6,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,0,0,1,0,0,4,1,4,0,1,4,4,4,4,0,4,1
